"StateId","RHI5","RHI10","RHI20","RGI5","RGI10","RGI20","TreesMeasuredCount","LastMeasurementDate","ContainsEntityWithCoordinates"
"23","1.5123999938964843e+002","1.4446999969482422e+002","1.3715499916076661e+002","2.3576667022705077e+001","1.9925000095367430e+001","1.6025000047683715e+001","263","2025-01-07","1"
"230",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"231",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"232","1.4740000000000001e+002","1.3341000061035157e+002",NULL,"1.8983333206176759e+001","1.6208333301544190e+001",NULL,"26","2011-04-27","1"
"233",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"234",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"235",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"236",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"237",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"238",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"24","1.8306000061035155e+002","1.6760000152587889e+002",NULL,"1.8114666557312013e+001","1.3635333395004272e+001",NULL,"56","2024-07-08","1"
"247",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"248",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"249",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"25","1.7764000244140624e+002","1.6805000152587891e+002","1.5598000106811523e+002","2.1583333206176757e+001","1.9391666698455811e+001","1.7100000000000001e+001","1645","2026-05-24","1"
"250",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"251",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"252",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"253",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"254","6.8819998931884768e+001",NULL,NULL,"1.1686666584014892e+001",NULL,NULL,"5","2016-03-15","1"
"255",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"256",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"257",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"258","9.9739999389648432e+001",NULL,NULL,"1.2636666679382325e+001",NULL,NULL,"9","2016-03-18","1"
"259",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"26",NULL,NULL,NULL,NULL,NULL,NULL,"2","2012-08-05","1"
"260",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"261",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
"262",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0"
