"Id","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"403665145","Quercus virginiana","Live Oak","7.9500000000000000e+001","2","39750","3.2900001525878906e+001","2","39759","1.6380000305175781e+002","2","39760","22"
"408578945","Pinus mugo","Mugo Pine","2.8000000000000000e+001","2","226012","2.5833332538604736e+000","2","226013","0.0000000000000000e+000","0",NULL,"2"
"409003992","Bismarckia nobilis","Bismarck Palm","1.7500000000000000e+001","2","291325","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"411215579","Abies amabilis","Pacific Silver Fir","1.9900000000000000e+002","2","296630","1.3300000190734863e+001","2","296617","2.7000000000000000e+001","2","96892","9"
"414224246","Phoenix dactylifera","Date Palm","5.8599998474121094e+001","2","291322","8.4000005722045898e+000","2","274949","0.0000000000000000e+000","0",NULL,"4"
"419455886","Juglans xsinensis","Chinese Walnut","9.1900001525878906e+001","2","281896","1.2069999694824219e+001","2","281896","0.0000000000000000e+000","0",NULL,"1"
"419739566","Celtis pumila","Dwarf Hackberry","1.9100000381469727e+001","2","222938","1.2500000000000000e+000","2","222938","1.4500000000000000e+001","2","222938","1"
"42204333","Franklinia alatamaha","Franklin Tree","3.3000000000000000e+001","2","255922","3.5000000000000000e+000","2","255922","4.0000000000000000e+001","2","255922","3"
"430252453","Hydrangea paniculata","Panicled Hydrangea","2.1600000381469727e+001","2","147812","1.9166666269302368e+000","2","147778","0.0000000000000000e+000","0",NULL,"8"
"432631019","Quercus texana","Nutall Oak","1.2230000305175781e+002","2","229009","1.1416666984558105e+001","2","229009","0.0000000000000000e+000","0",NULL,"2"
"43300394","Aralia spinosa","Devil's Walkingstick","5.3400001525878906e+001","2","229931","2.5000000000000000e+000","2","229931","1.2000000000000000e+001","2","127137","10"
"435121842","Celtis occidentalis","Common Hackberry","1.3019999694824219e+002","2","297569","1.9449998855590820e+001","2","313066","9.7000000000000000e+001","2","313066","137"
"4353661","Crataegus viridis","Green Hawthorn","6.5599998474121094e+001","2","252653","3.5833332538604736e+000","2","236759","2.8000000000000000e+001","2","236758","10"
"438547882","Quercus turbinella","Sonoran Scrub Oak","1.4199999809265137e+001","2","142559","1.7500000000000000e+000","2","142559","0.0000000000000000e+000","0",NULL,"1"
"444565803","Ulmus x hollandica","Dutch Elm","1.1880000305175781e+002","2","281833","1.6399999618530273e+001","2","281833","0.0000000000000000e+000","0",NULL,"1"
"449276573","Gleditsia aquatica","Water Locust","1.0259999847412109e+002","2","241850","1.9833333969116211e+001","2","233994","6.3000000000000000e+001","2","255921","12"
"454063799","Phoenix canariensis","Canary Island Date Palm","4.8900001525878906e+001","2","274857","6.1666665077209473e+000","2","253863","2.1500000000000000e+001","2","253863","2"
"459643563","Pseudotsuga menziesii var. glauca","Rocky Mountain Douglas-Fir","1.9260000610351562e+002","2","318065","1.7000000000000000e+001","2","242476","0.0000000000000000e+000","0",NULL,"102"
"466642753","Magnolia ashei","Ashe's Magnolia","4.4000000000000000e+001","2","166981","5.1666665077209473e+000","2","166981","4.4000000000000000e+001","2","166981","1"
"468970053","Sciadopitys verticillata","Japanese Umbrella - Pine","4.1000000000000000e+001","2","281432","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"469176034","Acer cissifolium","Ivy-Leaved Maple","6.2099998474121094e+001","2","281803","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"471624310","Magnolia denudata","Yulan Magnolia","2.8299999237060547e+001","2","189033","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"472746360","Acrocamia aculenta","Coyol Palm","5.1200000762939453e+001","2","213138","3.9166667461395264e+000","2","213138","0.0000000000000000e+000","0",NULL,"1"
"475576247","Morella cerifera","Wax Myrtle","2.9000000000000000e+001","2","163346","5.0000000000000000e-001","2","163346","1.3000000000000000e+001","2","163346","1"
"47819412","Agave chrysantha","Golden Flower Century Plant","1.3800000190734863e+001","2","24033","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"480339820","Populus angustifolia","Narrowleaf Cottonwood","1.1700000000000000e+002","2","280638","1.2000000000000000e+001","2","233571","6.1000000000000000e+001","2","233571","24"
"480657233","Persea borbonia","Redbay","7.3800003051757812e+001","2","242651","7.1666665077209473e+000","2","2403","5.0000000000000000e+001","2","2403","5"
"481882541","Populus deltoides","Eastern Cottonwood","1.5360000610351562e+002","2","228987","2.9000000000000000e+001","2","70462","1.0850000000000000e+002","2","239915","231"
"487056010","Calocedrus decurrens","Incense Cedar","1.4419999694824219e+002","2","274336","2.2049999237060547e+001","2","320690","3.1000000000000000e+001","2","225710","13"
"492120335","Thuja occidentalis","Arborvitae","9.1400001525878906e+001","2","52726","1.2166666984558105e+001","2","240294","3.0500000000000000e+001","2","313222","86"
"49700874","Carpinus caroliniana","American Hornbeam","1.3200000000000000e+002","2","242649","4.6666665077209473e+000","2","237901","4.3000000000000000e+001","2","242649","42"
"504259893","Quercus rubra var. borealis","Northern Red Oak","9.5099998474121094e+001","2","16074","1.1583333015441895e+001","2","16074","0.0000000000000000e+000","0",NULL,"1"
"512897308","Sambucus nigra ssp. cerulea","Blue Elderberry","2.4799999237060547e+001","2","76272","2.5000000000000000e+000","2","78323","0.0000000000000000e+000","0",NULL,"4"
"517148953","Viburnum lentago","Nannyberry","2.3600000381469727e+001","2","281893","2.2500000000000000e+000","2","281894","0.0000000000000000e+000","0",NULL,"5"
"518482947","Aesculus glabra var. glabra","Ohio Buckeye","7.5500000000000000e+001","2","168415","1.4500000000000000e+001","2","174563","4.4500000000000000e+001","2","222947","7"
"51945310","Cephalocereus columna-trajani","Torch Cactus","3.2799999237060547e+001","2","286958","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"519735972","Ceiba pentandra","Ceiba","1.5460000610351562e+002","2","214112","1.5108333587646484e+001","2","214110","0.0000000000000000e+000","0",NULL,"3"
"524228288","Betula nigra","River Birch","1.0209999847412109e+002","2","120183","1.2366665840148926e+001","2","313177","1.1030000305175781e+002","2","255972","50"
"526732147","Ulmus thomasii","Rock Elm","1.0509999847412109e+002","2","262222","1.0666666984558105e+001","2","240295","0.0000000000000000e+000","0",NULL,"6"
"527223719","Enterolabium cyclocarpum","Guanacaste","7.3099998474121094e+001","2","243473","2.1250000000000000e+001","2","243473","1.4539999389648437e+002","2","243473","1"
"527909002","Pinus canariensis","Canary Island Pine","1.8700000000000000e+002","2","283178","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"2"
"530910614","Carya x dunbarii","Dunbar’S Hickory","8.4800003051757813e+001","2","226062","4.9000000953674316e+000","2","226062","0.0000000000000000e+000","0",NULL,"1"
"531294158","Quercus durata var. gabrielensis","Leather Oak","1.2800000000000000e+002","2","148114","1.6916666030883789e+001","2","148114","4.5000000000000000e+001","2","148114","1"
"533284260","Quercus velutina","Black Oak","1.4510000610351562e+002","2","232241","2.7333333969116211e+001","2","256798","1.2300000000000000e+002","2","313118","446"
