"Id","StateId","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"1471260131","20","Quercus macrocarpa","Bur Oak","7.3162727355957031e+001","2","104966","8.8743810653686523e+000","2","104966","0.0000000000000000e+000","0",NULL,"1"
"147145792","18","Paulownia tomentosa","Princesstree","7.1900001525878906e+001","2","280933","3.0999999046325684e+000","2","128434","0.0000000000000000e+000","0",NULL,"2"
"1472491713","7","Viburnum prunifolium","Blackhaw","3.0299999237060547e+001","2","142891","3.5000000000000000e+000","2","75460","0.0000000000000000e+000","0",NULL,"2"
"1472600254","45","Celtis laevigata var. reticulata","Netleaf Hackberry","3.1600000381469727e+001","2","91834","2.3333332538604736e+000","2","91835","0.0000000000000000e+000","0",NULL,"4"
"1473374284","9","Carya laciniosa","Shellbark Hickory","1.3780000305175781e+002","2","249616","6.0000000000000000e+000","2","249616","0.0000000000000000e+000","0",NULL,"2"
"1474038874","33","Acer saccharum","Sugar Maple","1.2769999694824219e+002","2","15988","1.2583333015441895e+001","2","15979","7.4583335876464844e+001","2","15979","48"
"147483487","36","Tilia americana var. americana","American Basswood","1.3889999389648437e+002","2","222035","9.2500000000000000e+000","2","117439","0.0000000000000000e+000","0",NULL,"23"
"1474915735","25","Cercis canadensis","Eastern Redbud","4.1700000762939453e+001","2","226776","1.6666666269302368e+000","2","226776","0.0000000000000000e+000","0",NULL,"1"
"1475067811","7","Tsuga canadensis","Eastern Hemlock","8.3099998474121094e+001","2","75456","1.1000000000000000e+001","2","75456","0.0000000000000000e+000","0",NULL,"1"
"1475322208","23","Cornus drummondii","Roughleaf Dogwood","4.1799999237060547e+001","2","251065","1.6666666269302368e+000","2","251065","0.0000000000000000e+000","0",NULL,"1"
"1477639821","8","Liquidambar styraciflua","Sweetgum","1.1919999694824219e+002","2","323412","7.3000001907348633e+000","2","323412","0.0000000000000000e+000","0",NULL,"1"
"1477966735","6","Betula alleghaniensis","Yellow Birch","6.5000000000000000e+001","2","242633","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1478724304","275","Phoenix dactylifera","Date Palm","4.2900001525878906e+001","2","291332","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"2"
"1478849507","33","Fraxinus americana","White Ash","1.3930000305175781e+002","2","15989","1.8666666030883789e+001","2","10097","4.2700000762939453e+001","2","15983","53"
"1479034427","46","Acer saccharum","Sugar Maple","7.2000000000000000e+001","2","233390","7.0000000000000000e+000","2","233390","3.4000000000000000e+001","2","233390","1"
"147908463","39","Cornus drummondii","Roughleaf Dogwood","2.6100000381469727e+001","2","233484","1.6666666269302368e+000","2","233484","0.0000000000000000e+000","0",NULL,"1"
"1479134390","15","Magnolia macrophylla","Bigleaf Magnolia","9.9400001525878906e+001","2","76438","2.3499999046325684e+000","2","297400","0.0000000000000000e+000","0",NULL,"5"
"1479585568","120","Cecropia obtusifolia","Guarumo","7.2199996948242188e+001","2","227249","5.2500000000000000e+000","2","227249","0.0000000000000000e+000","0",NULL,"1"
"1479947691","47","Salix fragilis","Crack Willow","7.5199996948242187e+001","2","315035","1.7899999618530273e+001","2","313141","4.7500000000000000e+001","2","313141","2"
"1480030716","36","Platanus x hispanica","London Planetree","1.4680000305175781e+002","2","216272","1.3166666984558105e+001","2","255940","0.0000000000000000e+000","0",NULL,"2"
"1481454430","29","Picea rubens","Red Spruce","6.0000000000000000e+001","2","169986","4.8333334922790527e+000","2","169986","0.0000000000000000e+000","0",NULL,"1"
"1481760890","32","Pinus wallichiana","Bhutan Pine","1.1030000305175781e+002","2","226037","9.5833330154418945e+000","2","258134","0.0000000000000000e+000","0",NULL,"3"
"1482600498","9","Persea palustris","Swamp Bay","5.3400001525878906e+001","2","234764","3.0000000000000000e+000","2","234766","0.0000000000000000e+000","0",NULL,"3"
"1482601950","18","Celtis laevigata","Sugarberry","1.1040000152587891e+002","2","158510","7.6666665077209473e+000","2","158510","0.0000000000000000e+000","0",NULL,"1"
"1483109338","15","Carya glabra","Pignut Hickory","1.3319999694824219e+002","2","297634","7.4000000953674316e+000","2","297807","0.0000000000000000e+000","0",NULL,"3"
"1483344312","32","Acer rubrum","Red Maple","1.2780000305175781e+002","2","262910","1.4000000000000000e+001","2","264858","0.0000000000000000e+000","0",NULL,"78"
"1483605480","41","Ulmus americana","American Elm","4.2400001525878906e+001","2","320682","5.7699999809265137e+000","2","320682","0.0000000000000000e+000","0",NULL,"1"
"1484364657","13","Quercus bicolor","Swamp White Oak","8.2900001525878906e+001","2","170008","1.7166666030883789e+001","2","170008","9.0000000000000000e+001","2","170008","1"
"1485121265","10","Quercus rubra","Northern Red Oak","1.1559999847412109e+002","2","233676","1.2916666984558105e+001","2","233607","8.2500000000000000e+001","2","233676","2"
"1485370177","25","Pinus rigida","Pitch Pine","1.2619999694824219e+002","2","40606","8.1666669845581055e+000","2","252344","0.0000000000000000e+000","0",NULL,"32"
"1485401166","43","Quercus michauxii","Swamp Chestnut Oak","1.0669999694824219e+002","2","47490","1.0750000000000000e+001","2","47490","0.0000000000000000e+000","0",NULL,"1"
"1485609266","20","Prunus serotina","Black Cherry","1.0301837158203125e+002","2","104001","7.3818898200988770e+000","2","104001","0.0000000000000000e+000","0",NULL,"2"
"1486228676","44","Platanus occidentalis","American Sycamore","1.0680000305175781e+002","2","253204","6.8333334922790527e+000","2","253204","0.0000000000000000e+000","0",NULL,"1"
"1486542178","232","Picea abies","Norway Spruce","1.6469999694824219e+002","2","283478","1.4500000000000000e+001","2","283479","0.0000000000000000e+000","0",NULL,"3"
"1486838637","32","Ulmus procera","English Elm","1.1166666412353516e+002","2","263295","1.7583333969116211e+001","2","263295","9.0000000000000000e+001","2","263295","5"
